白老発電所,20240512
時刻,発電量,売電量,売電金額,期待発電量,日射量,外気温
time,data,data2,円,kWh,Wh/m2,℃
00:00～01:00,0.0,0.0,0,0.0,0,10.4
01:00～02:00,0.0,0.0,0,0.0,0,10.6
02:00～03:00,0.0,0.0,0,0.0,0,10.7
03:00～04:00,0.0,0.0,0,0.0,0,10.3
04:00～05:00,4.0,4.0,172,7.3,8,11.5
05:00～06:00,69.6,64.0,2764,48.3,53,11.3
06:00～07:00,219.2,214.0,9244,155.2,170,13.2
07:00～08:00,317.6,312.0,13478,229.1,251,17.2
08:00～09:00,627.2,617.0,26654,451.0,494,15.7
09:00～10:00,715.6,705.0,30456,507.6,556,14.4
10:00～11:00,462.4,452.0,19526,319.5,350,13.8
11:00～12:00,220.4,214.0,9244,143.3,157,13.6
12:00～13:00,224.8,219.0,9460,146.0,160,12.7
13:00～14:00,290.0,284.0,12268,190.8,209,13.5
14:00～15:00,164.4,160.0,6912,106.8,117,12.9
15:00～16:00,59.2,52.0,2246,39.2,43,13.3
16:00～17:00,25.6,22.0,950,18.2,20,13.2
17:00～18:00,3.6,5.0,216,6.3,7,13.2
18:00～19:00,0.0,0.0,0,0.0,0,12.6
19:00～20:00,0.0,0.0,0,0.0,0,14.3
20:00～21:00,0.0,0.0,0,0.0,0,15.4
21:00～22:00,0.0,0.0,0,0.0,0,14.5
22:00～23:00,0.0,0.0,0,0.0,0,14.2
23:00～24:00,0.0,0.0,0,0.0,0,13.8
最大,715.6,705.0,30456,507.6,556,17.2
最小,0.0,0.0,0,0.0,0,10.3
平均,141.8,138.0,5982,98.6,108,13.1
積算,3403.6,3324.0,143590,2368.6,2595,
